 Procedimentos hospitalares do SUS - por local de residência - Brasil
Média permanência por Município e Subgrupo proced.
Período:Jul-Set/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0410 Cirurgia de mama";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0501 Coleta e exames para fins de doação de orgãos, tecidos e células e de transplante";"0503 Ações relacionadas à doação de orgãos e tecidos para transplante";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110080 CANDEIAS DO JAMARI";...;...;...;...;8,0;4,7;3,6;4,8;2,2;2,0;...;9,9;58,0;...;-;4,1;2,1;4,9;...;2,7;4,0;...;...;5,7;1,3;...;...;...;14,4;5,8
"110090 CASTANHEIRAS";...;...;...;1,0;7,9;...;...;...;...;...;...;...;...;...;6,0;...;2,5;1,0;...;4,4;...;...;...;...;2,0;...;...;...;...;4,8
"110092 CHUPINGUAIA";...;...;...;3,1;3,6;2,0;3,0;1,5;1,2;...;...;7,7;3,7;...;3,0;1,0;4,6;...;...;2,5;...;...;...;7,3;3,0;...;...;...;29,0;4,3
"110094 CUJUBIM";...;...;...;0,1;3,4;4,3;-;3,9;1,5;...;...;10,3;8,3;...;...;2,7;2,6;3,0;-;1,5;5,0;...;...;8,3;2,0;...;...;...;...;3,2
"110100 GOVERNADOR JORGE TEIXEIRA";...;...;...;...;6,1;5,0;11,0;8,6;1,4;...;...;...;...;...;...;3,5;3,3;0,5;...;1,8;...;2,0;...;6,7;12,5;...;...;...;...;4,6
"110110 ITAPUA DO OESTE";...;...;...;...;6,5;4,7;6,0;3,6;2,1;10,0;...;...;...;...;4,0;8,7;4,8;...;...;3,7;...;...;...;8,3;...;...;...;...;...;5,5
"110120 MINISTRO ANDREAZZA";...;...;...;0,5;7,8;5,1;8,5;3,5;2,0;...;...;28,0;...;...;...;14,0;4,3;4,0;...;2,2;...;...;...;7,8;1,0;...;...;...;...;6,7
"110130 MIRANTE DA SERRA";1,0;...;...;2,0;5,7;3,3;3,3;17,5;1,3;1,0;...;...;...;...;-;1,2;4,0;...;...;2,2;...;...;...;3,7;...;...;...;...;...;4,6
"110140 MONTE NEGRO";...;...;...;1,0;5,0;7,3;3,3;2,5;1,4;...;...;6,5;...;...;6,0;2,5;3,3;-;-;1,8;5,7;2,0;...;2,8;0,4;...;...;...;...;3,9
"110143 NOVA UNIAO";...;...;...;...;3,2;5,8;...;3,0;1,0;...;...;...;...;...;3,0;1,0;2,0;...;...;1,4;...;...;...;11,3;1,5;...;...;...;...;3,3
"110145 PARECIS";...;...;...;1,0;2,3;...;...;5,3;1,0;...;...;2,0;...;-;2,0;...;1,5;...;...;2,6;5,0;...;...;15,0;...;...;...;...;...;1,8
"110146 PIMENTEIRAS DO OESTE";...;...;...;1,0;3,0;4,0;...;...;2,0;...;...;...;...;...;...;3,0;...;...;...;1,7;...;...;...;...;...;...;...;...;...;2,7
"110147 PRIMAVERA DE RONDONIA";...;...;...;...;1,9;...;5,5;1,7;2,0;...;...;5,0;5,0;...;...;2,5;...;2,0;...;2,2;...;...;...;3,5;4,5;...;...;...;...;2,6
"110148 SAO FELIPE D'OESTE";...;...;...;...;4,8;...;5,5;...;2,0;...;...;...;...;...;...;2,0;2,0;...;...;2,3;...;...;...;...;...;...;...;...;...;3,3
"110149 SAO FRANCISCO DO GUAPORE";...;...;...;2,0;5,3;6,8;7,3;1,4;1,4;...;...;21,0;9,0;...;...;3,2;4,7;0,5;...;2,0;19,0;7,0;...;5,9;2,8;...;...;...;7,0;4,3
"110150 SERINGUEIRAS";...;...;...;0,7;3,9;4,0;2,9;6,4;1,5;...;...;...;...;-;-;...;2,4;1,6;...;1,9;8,0;...;...;7,6;3,0;...;...;...;...;2,9
"110155 TEIXEIROPOLIS";...;...;...;...;4,6;...;3,0;...;1,0;...;...;14,0;...;...;13,0;...;5,0;2,0;...;2,0;...;...;...;...;...;...;...;...;...;4,5
"110160 THEOBROMA";...;...;...;0,5;4,8;6,3;11,0;2,5;1,0;...;...;...;...;...;-;2,5;14,0;-;...;1,6;...;...;...;6,0;11,5;...;...;...;...;3,9
"110170 URUPA";...;...;...;1,0;4,8;2,1;6,3;2,0;1,2;4,0;...;1,0;7,0;...;-;1,8;5,0;1,0;...;1,7;...;...;...;2,5;3,0;...;...;...;...;3,1
"110175 VALE DO ANARI";...;...;...;-;7,2;7,0;...;2,0;1,4;7,0;...;...;...;...;-;4,5;2,7;...;...;1,4;3,0;...;...;12,0;...;...;...;...;...;4,4
"110180 VALE DO PARAISO";...;...;...;1,0;4,5;3,0;3,7;...;1,2;...;...;18,0;...;-;...;1,3;4,5;0,8;...;1,4;...;...;...;2,0;1,0;...;-;...;...;3,3
"120001 ACRELANDIA";1,0;...;...;1,0;5,5;8,3;4,0;3,8;1,8;...;...;10,7;2,0;...;...;2,3;1,5;4,0;...;2,4;10,0;...;...;13,0;4,5;...;...;...;...;4,2
"120005 ASSIS BRASIL";...;...;...;1,1;5,5;4,5;...;3,7;1,5;...;...;...;...;...;...;2,3;1,6;1,0;...;2,4;...;...;...;...;...;...;...;...;...;3,4
"120010 BRASILEIA";...;...;...;2,0;5,1;3,8;6,5;6,2;1,6;-;...;5,5;2,0;...;4,7;3,2;4,5;3,0;...;2,4;...;6,0;...;4,8;1,5;...;...;...;3,0;3,6
"120013 BUJARI";1,0;...;...;1,0;9,3;6,0;4,0;6,0;1,3;-;...;...;...;...;...;3,9;1,0;1,8;...;2,8;...;...;...;8,0;...;...;...;...;...;4,3
"120017 CAPIXABA";...;...;...;1,0;11,1;...;...;6,0;1,9;...;...;...;...;...;...;2,3;3,4;...;...;1,8;...;2,0;...;...;5,0;...;...;...;...;5,2
"120020 CRUZEIRO DO SUL";-;...;...;3,0;6,7;11,4;5,3;3,4;1,8;1,7;...;5,9;7,0;-;17,3;3,4;2,1;2,8;1,0;2,7;6,6;3,0;-;6,3;6,5;...;...;...;...;4,4
"120025 EPITACIOLANDIA";2,0;...;...;1,9;4,7;6,0;5,3;7,3;1,6;2,0;...;...;1,0;...;16,0;3,0;2,6;4,0;...;2,3;38,5;...;...;14,0;1,5;...;...;...;...;3,6
"120030 FEIJO";1,0;...;...;19,0;12,9;4,0;2,0;3,0;1,7;...;3,0;18,0;2,0;3,2;22,0;4,9;2,4;8,0;...;2,7;6,0;6,0;...;...;17,5;...;...;...;...;7,8
"120032 JORDAO";...;...;...;1,0;8,6;5,0;6,5;10,0;1,5;...;2,0;7,0;...;...;...;3,0;2,7;...;...;2,0;...;...;...;...;...;...;...;...;...;4,1
"120033 MANCIO LIMA";...;...;...;1,7;8,0;5,0;2,8;2,0;1,7;...;...;...;...;2,5;2,0;2,4;3,4;28,0;...;2,5;...;...;...;4,0;...;...;...;...;...;4,5
"120034 MANOEL URBANO";...;...;...;0,9;11,8;...;...;5,4;1,4;1,0;...;...;...;...;...;1,5;3,0;1,3;1,0;2,7;...;...;...;...;...;...;...;...;-;4,2
"120035 MARECHAL THAUMATURGO";...;...;...;1,4;7,6;34,0;...;2,3;1,2;-;...;-;...;-;...;4,2;5,8;4,0;...;2,7;...;6,0;...;...;...;...;...;21,0;10,0;3,8
"120038 PLACIDO DE CASTRO";4,5;...;...;0,3;8,0;...;14,8;6,7;1,7;...;...;33,0;...;...;...;7,5;4,4;1,3;...;2,8;...;...;...;2,3;...;...;...;...;...;4,5
"120039 PORTO WALTER";...;...;...;...;6,0;4,0;...;...;1,4;...;...;...;...;...;...;1,5;0,3;...;...;2,4;...;...;...;...;...;...;...;...;...;3,5
"120040 RIO BRANCO";1,6;...;...;1,2;10,2;8,4;6,8;6,3;2,0;5,5;2,6;10,1;3,8;1,0;10,6;3,5;3,7;2,8;1,5;2,6;9,5;20,2;1,0;6,0;4,0;2,0;...;6,6;10,0;5,4
"120042 RODRIGUES ALVES";...;...;...;1,9;6,5;5,3;...;5,0;1,3;3,0;...;...;5,0;...;...;8,6;3,5;2,7;...;2,7;...;...;...;10,5;37,0;...;...;...;...;4,2
"120043 SANTA ROSA DO PURUS";...;...;...;0,8;5,8;...;19,0;8,8;1,3;...;...;...;...;...;...;2,0;1,7;...;...;4,5;...;...;...;...;...;...;...;...;...;4,7
"120045 SENADOR GUIOMARD";...;...;...;1,7;8,4;6,0;3,7;7,7;1,9;...;...;...;17,5;...;8,0;4,9;2,4;3,1;...;2,5;...;...;...;8,0;2,5;...;...;...;...;4,9
"120050 SENA MADUREIRA";...;...;...;1,4;4,9;4,0;4,8;5,7;1,8;...;3,0;-;1,0;...;...;4,5;2,8;3,0;...;2,5;4,0;3,0;...;4,8;2,5;...;...;...;17,0;3,7
"120060 TARAUACA";...;...;...;1,6;8,0;13,0;17,8;4,6;1,2;...;7,0;...;1,5;4,0;3,3;4,5;3,3;3,7;...;2,1;24,0;...;...;2,0;2,0;...;...;...;-;3,4
"120070 XAPURI";...;...;...;2,1;7,7;17,0;8,7;6,4;1,8;18,0;...;5,5;5,0;...;14,0;2,8;9,6;1,3;...;2,2;...;4,0;...;2,0;...;...;...;...;...;5,3
"120080 PORTO ACRE";1,0;...;...;1,0;5,5;2,0;7,0;6,6;1,8;...;...;7,0;...;...;7,0;2,0;5,3;3,0;...;2,0;...;...;...;6,0;...;...;...;...;13,0;3,6
"130002 ALVARAES";...;...;...;1,0;5,3;...;3,0;5,3;2,0;2,5;...;...;...;...;...;3,5;5,7;2,5;5,0;2,7;6,5;...;...;6,5;...;...;...;...;...;3,9
"130006 AMATURA";...;...;...;...;4,9;...;2,5;4,2;1,8;...;...;6,0;...;...;...;3,3;...;2,0;...;1,3;...;...;...;...;...;...;...;...;...;3,3
"130008 ANAMA";...;...;...;...;4,8;...;...;...;8,0;...;...;...;1,0;...;...;2,0;2,0;...;...;2,0;...;...;...;2,0;...;...;...;...;...;3,9
"130010 ANORI";...;...;...;-;4,1;...;3,0;5,3;3,1;...;4,0;...;...;...;3,0;3,8;1,8;3,5;...;3,0;16,0;9,0;...;...;3,0;...;...;...;...;3,8
"130014 APUI";...;...;...;17,0;5,3;...;2,0;5,0;3,0;1,8;...;-;3,5;...;...;3,8;3,1;1,3;...;2,8;...;2,5;...;1,0;...;...;...;...;...;4,2
"130020 ATALAIA DO NORTE";...;...;...;...;6,4;22,0;3,0;-;1,4;3,0;...;...;...;...;...;3,3;-;2,0;...;3,4;...;...;...;...;...;...;...;...;...;4,6
"130030 AUTAZES";...;...;...;1,0;7,1;...;3,1;3,4;1,4;8,0;...;5,0;5,0;...;7,0;2,6;5,3;2,0;2,0;2,0;...;15,1;...;16,0;...;...;...;...;...;4,1
"130040 BARCELOS";...;...;...;1,0;7,1;...;24,0;3,8;1,9;...;...;...;...;...;...;6,0;3,3;...;...;2,3;15,0;...;...;4,0;...;...;...;...;...;6,1
"130050 BARREIRINHA";...;...;...;-;5,8;5,5;6,3;4,5;1,8;...;...;...;1,0;...;3,0;3,8;4,7;3,3;...;2,2;12,0;...;...;7,0;...;...;...;...;...;3,8
