 Procedimentos hospitalares do SUS - por local de residência - Brasil
Óbitos por Município e Subgrupo proced.
Período:Jan-Mar/2020
"Município";"0201 Coleta de material";"0209 Diagnóstico por endoscopia";"0211 Métodos diagnósticos em especialidades";"0301 Consultas / Atendimentos / Acompanhamentos";"0303 Tratamentos clínicos (outras especialidades)";"0304 Tratamento em oncologia";"0305 Tratamento em nefrologia";"0308 Tratamento de lesões, envenenamentos e outros, decorrentes de causas externas";"0310 Parto e nascimento";"0401 Pequenas cirurgias e cirurgias de pele, tecido subcutâneo e mucosa";"0402 Cirurgia de glândulas endócrinas";"0403 Cirurgia do sistema nervoso central e periférico";"0404 Cirurgia das vias aéreas superiores, da face, da cabeça e do pescoço";"0405 Cirurgia do aparelho da visão";"0406 Cirurgia do aparelho circulatório";"0407 Cirurgia do aparelho digestivo, orgãos anexos e parede abdominal";"0408 Cirurgia do sistema osteomuscular";"0409 Cirurgia do aparelho geniturinário";"0411 Cirurgia obstétrica";"0412 Cirurgia torácica";"0413 Cirurgia reparadora";"0414 Bucomaxilofacial";"0415 Outras cirurgias";"0416 Cirurgia em oncologia";"0505 Transplante de orgãos, tecidos e células";"0506 Acompanhamento e intercorrências no pré e pós-transplante";"Total"
"110001 ALTA FLORESTA D'OESTE";-;-;-;-;7;1;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;10
"110002 ARIQUEMES";-;-;-;-;28;5;2;1;-;-;-;-;1;-;1;1;-;-;-;-;-;-;-;1;1;-;41
"110003 CABIXI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110004 CACOAL";-;-;-;3;32;14;3;1;-;1;-;-;1;-;1;-;-;-;-;1;-;-;1;2;-;-;60
"110005 CEREJEIRAS";-;-;-;-;4;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110006 COLORADO DO OESTE";-;-;-;-;8;1;-;1;-;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;13
"110007 CORUMBIARA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110008 COSTA MARQUES";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110009 ESPIGAO D'OESTE";-;-;-;-;18;1;1;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;24
"110010 GUAJARA-MIRIM";-;-;-;-;15;3;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;21
"110011 JARU";-;-;-;4;22;1;-;-;-;-;-;-;1;-;1;2;-;-;-;-;-;-;2;-;-;-;33
"110012 JI-PARANA";-;-;-;-;47;9;4;1;-;-;-;-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;66
"110013 MACHADINHO D'OESTE";-;-;-;-;8;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"110014 NOVA BRASILANDIA D'OESTE";-;-;-;-;4;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"110015 OURO PRETO DO OESTE";-;-;-;-;11;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"110018 PIMENTA BUENO";-;-;-;-;19;5;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"110020 PORTO VELHO";-;-;-;-;140;47;7;3;-;-;-;7;-;-;1;1;3;1;-;1;-;-;7;-;-;2;220
"110025 PRESIDENTE MEDICI";-;-;-;-;7;-;2;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"110026 RIO CRESPO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110028 ROLIM DE MOURA";-;-;-;1;21;2;-;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;-;-;28
"110029 SANTA LUZIA D'OESTE";-;-;-;-;5;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;9
"110030 VILHENA";-;-;-;-;36;2;4;-;-;-;-;-;2;-;2;2;1;-;-;1;-;-;1;-;-;-;51
"110032 SAO MIGUEL DO GUAPORE";-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;12
"110033 NOVA MAMORE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110034 ALVORADA D'OESTE";-;-;-;-;3;1;2;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;7
"110037 ALTO ALEGRE DOS PARECIS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2
"110040 ALTO PARAISO";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110045 BURITIS";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"110050 NOVO HORIZONTE DO OESTE";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110060 CACAULANDIA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;3
"110070 CAMPO NOVO DE RONDONIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110080 CANDEIAS DO JAMARI";-;-;-;-;5;1;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;8
"110090 CASTANHEIRAS";-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110092 CHUPINGUAIA";-;-;-;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110094 CUJUBIM";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"110100 GOVERNADOR JORGE TEIXEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"110110 ITAPUA DO OESTE";-;-;-;-;6;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"110120 MINISTRO ANDREAZZA";-;-;-;-;2;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"110130 MIRANTE DA SERRA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110140 MONTE NEGRO";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;7
"110143 NOVA UNIAO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110145 PARECIS";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"110147 PRIMAVERA DE RONDONIA";-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110148 SAO FELIPE D'OESTE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"110149 SAO FRANCISCO DO GUAPORE";-;-;-;-;8;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"110150 SERINGUEIRAS";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110155 TEIXEIROPOLIS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110160 THEOBROMA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"110170 URUPA";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;7
"110175 VALE DO ANARI";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"110180 VALE DO PARAISO";-;-;-;-;2;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"120001 ACRELANDIA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120005 ASSIS BRASIL";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120010 BRASILEIA";-;-;-;1;15;1;2;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;21
"120013 BUJARI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"120017 CAPIXABA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120020 CRUZEIRO DO SUL";-;1;-;1;42;2;-;1;-;-;-;3;2;-;-;1;1;-;-;-;-;-;-;-;-;-;54
"120025 EPITACIOLANDIA";-;-;-;-;5;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;7
"120030 FEIJO";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120032 JORDAO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2
"120033 MANCIO LIMA";-;-;-;-;4;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"120034 MANOEL URBANO";-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120035 MARECHAL THAUMATURGO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2
"120038 PLACIDO DE CASTRO";-;-;-;-;3;1;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"120040 RIO BRANCO";-;-;-;3;172;27;13;8;-;-;-;10;4;-;1;8;1;1;-;1;-;-;8;2;1;-;260
"120042 RODRIGUES ALVES";-;-;-;-;4;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"120043 SANTA ROSA DO PURUS";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"120045 SENADOR GUIOMARD";-;-;-;-;6;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"120050 SENA MADUREIRA";-;-;-;-;17;1;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;21
"120060 TARAUACA";-;-;-;6;12;1;-;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;22
"120070 XAPURI";-;-;-;-;6;-;1;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;10
"120080 PORTO ACRE";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"130002 ALVARAES";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"130006 AMATURA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130008 ANAMA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"130010 ANORI";-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130014 APUI";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;4
"130020 ATALAIA DO NORTE";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130030 AUTAZES";-;-;-;-;6;3;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;11
"130040 BARCELOS";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130050 BARREIRINHA";-;-;-;1;2;3;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8
"130060 BENJAMIN CONSTANT";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130063 BERURI";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130068 BOA VISTA DO RAMOS";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130070 BOCA DO ACRE";-;-;-;-;14;2;1;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;19
"130080 BORBA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"130090 CANUTAMA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130100 CARAUARI";-;-;-;-;7;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;10
"130110 CAREIRO";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;13
"130115 CAREIRO DA VARZEA";-;-;-;-;4;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;7
"130120 COARI";-;-;-;-;18;1;1;-;-;-;-;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;23
"130130 CODAJAS";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130140 EIRUNEPE";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;6
"130150 ENVIRA";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130160 FONTE BOA";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;10
"130165 GUAJARA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;3
"130170 HUMAITA";-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;16
"130185 IRANDUBA";-;-;-;-;11;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;14
"130190 ITACOATIARA";-;-;-;-;16;1;-;1;-;-;-;1;-;-;-;-;1;-;-;-;-;-;2;-;-;-;22
"130200 ITAPIRANGA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130210 JAPURA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130220 JURUA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130230 JUTAI";-;-;-;-;3;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130240 LABREA";-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130250 MANACAPURU";-;-;-;-;20;2;3;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;27
"130255 MANAQUIRI";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"130260 MANAUS";-;-;-;5;882;99;41;10;14;-;-;15;12;-;15;29;17;2;5;13;2;-;41;6;-;2;1210
"130270 MANICORE";-;-;-;-;12;-;2;-;-;-;-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;17
"130280 MARAA";-;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"130290 MAUES";-;-;-;-;14;1;1;-;-;-;-;-;-;-;-;2;1;-;1;1;-;-;-;-;-;-;21
"130300 NHAMUNDA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130310 NOVA OLINDA DO NORTE";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130320 NOVO AIRAO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"130330 NOVO ARIPUANA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"130340 PARINTINS";-;-;-;9;20;1;1;-;-;-;-;1;-;-;-;3;1;-;-;-;1;-;-;-;-;-;37
"130350 PAUINI";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130353 PRESIDENTE FIGUEIREDO";-;-;-;-;14;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;16
"130356 RIO PRETO DA EVA";-;-;-;-;5;-;-;1;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;9
"130360 SANTA ISABEL DO RIO NEGRO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130370 SANTO ANTONIO DO ICA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130380 SAO GABRIEL DA CACHOEIRA";-;-;-;6;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"130390 SAO PAULO DE OLIVENCA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130395 SAO SEBASTIAO DO UATUMA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"130400 SILVES";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"130406 TABATINGA";-;-;-;-;20;2;-;-;-;-;-;-;1;-;-;2;-;-;-;1;-;-;2;-;-;-;28
"130420 TEFE";-;-;-;-;13;3;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;18
"130426 UARINI";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"130430 URUCARA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140002 AMAJARI";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"140005 ALTO ALEGRE";-;-;-;-;5;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"140010 BOA VISTA";-;-;-;2;167;39;14;3;-;-;-;4;5;-;3;6;1;-;2;5;1;-;4;1;-;-;257
"140015 BONFIM";-;-;-;-;4;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"140017 CANTA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;4
"140020 CARACARAI";-;-;-;-;5;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;8
"140023 CAROEBE";-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"140030 MUCAJAI";-;-;-;-;2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140040 NORMANDIA";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"140045 PACARAIMA";-;-;-;-;4;2;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"140047 RORAINOPOLIS";-;-;-;-;11;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;13
"140050 SAO JOAO DA BALIZA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"140060 SAO LUIZ";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"140070 UIRAMUTA";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150010 ABAETETUBA";-;-;-;4;18;4;4;-;-;-;-;-;-;-;2;1;-;-;-;-;-;-;6;-;-;-;39
"150013 ABEL FIGUEIREDO";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;4
"150020 ACARA";-;-;-;-;15;2;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;20
"150030 AFUA";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"150034 AGUA AZUL DO NORTE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150040 ALENQUER";-;-;-;5;20;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;27
"150050 ALMEIRIM";-;-;-;1;6;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;10
"150060 ALTAMIRA";-;-;-;-;58;4;4;-;-;-;-;-;1;-;-;3;-;-;-;3;-;-;3;-;-;-;76
"150070 ANAJAS";-;-;-;-;3;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;6
"150080 ANANINDEUA";-;-;-;4;97;23;8;-;-;-;-;1;1;-;4;5;1;-;-;1;-;-;17;1;-;2;165
"150085 ANAPU";-;-;-;-;5;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"150090 AUGUSTO CORREA";-;-;-;-;10;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"150095 AURORA DO PARA";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;4
"150100 AVEIRO";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150110 BAGRE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150120 BAIAO";-;-;-;-;5;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"150125 BANNACH";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150130 BARCARENA";-;-;-;-;27;2;4;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;3;-;-;-;37
"150140 BELEM";-;-;-;14;404;80;24;1;1;-;-;2;9;-;11;14;10;2;3;12;4;-;40;3;1;1;636
"150145 BELTERRA";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;6
"150150 BENEVIDES";-;-;-;-;11;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;4;-;-;-;18
"150157 BOM JESUS DO TOCANTINS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;3
"150160 BONITO";-;-;-;-;4;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;7
"150170 BRAGANCA";-;-;-;1;38;4;3;-;-;-;-;1;-;-;1;2;1;-;-;-;-;-;1;-;-;-;52
"150172 BRASIL NOVO";-;-;-;-;9;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;11
"150175 BREJO GRANDE DO ARAGUAIA";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150178 BREU BRANCO";-;-;-;-;7;-;-;-;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;10
"150180 BREVES";-;-;-;-;36;4;-;1;-;-;-;-;1;-;1;2;-;-;-;1;-;-;1;-;-;-;47
"150190 BUJARU";-;-;-;-;4;1;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;1;-;-;9
"150195 CACHOEIRA DO PIRIA";-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150200 CACHOEIRA DO ARARI";-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150210 CAMETA";-;-;-;-;22;6;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;31
"150215 CANAA DOS CARAJAS";-;-;-;1;5;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;8
"150220 CAPANEMA";-;-;-;-;8;2;-;-;-;-;-;-;1;-;1;2;-;-;1;1;-;-;-;-;-;-;16
"150230 CAPITAO POCO";-;-;-;1;7;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;11
"150240 CASTANHAL";-;-;-;1;73;5;4;-;-;-;-;-;1;-;-;3;2;1;-;1;-;-;5;1;-;-;97
"150250 CHAVES";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150260 COLARES";-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;3
"150270 CONCEICAO DO ARAGUAIA";-;-;-;-;9;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"150275 CONCORDIA DO PARA";-;-;-;-;3;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;7
"150276 CUMARU DO NORTE";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;8
"150277 CURIONOPOLIS";-;-;-;1;1;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;4
"150280 CURRALINHO";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150285 CURUA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;4
"150290 CURUCA";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;5
"150293 DOM ELISEU";-;-;-;-;12;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;15
"150295 ELDORADO DOS CARAJAS";-;-;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;3
"150300 FARO";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150304 FLORESTA DO ARAGUAIA";-;-;-;-;3;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;5
"150307 GARRAFAO DO NORTE";-;-;-;-;2;1;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;5
"150309 GOIANESIA DO PARA";-;-;-;-;3;-;2;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;-;-;-;8
"150310 GURUPA";-;-;-;-;7;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;9
"150320 IGARAPE-ACU";-;-;-;-;28;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;4;-;-;-;34
"150330 IGARAPE-MIRI";-;-;-;-;5;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;8
"150340 INHANGAPI";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;-;-;8
