"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;2,7;3,7;2,3;2,0;5,0;1,8;0;0;14,0;19,8;0;9,3;3,3;3,9;2,2;0;2,4;26,0;0;0;5,5;5,0;0;0;0;0;5,0;3,7
"110002";"ARIQUEMES";0;0;0;0,8;5,7;3,4;6,0;9,3;1,4;9,8;0;10,8;8,0;0,2;7,4;3,3;4,6;1,7;2,0;2,1;7,3;4,3;0;6,2;11,7;0;0;0;1,5;0;4,2
"110003";"CABIXI";0;0;0;2,3;4,0;4,5;4,0;1,0;1,6;0;0;0;6,0;0;10,0;8,4;5,6;2,0;0;5,2;0;18,0;0;8,5;5,0;0;0;0;0;0;4,3
"110004";"CACOAL";4,0;0;0;1,9;4,7;4,9;4,2;6,7;2,0;6,7;1,3;9,0;14,9;1,0;7,3;3,7;6,2;2,3;2,0;2,5;6,0;0;1,0;12,1;1,7;0;0,5;0;1,0;4,0;4,7
"110005";"CEREJEIRAS";0;0;0;2,8;4,4;6,7;3,2;14,7;1,8;1,0;0;13,0;11,0;2,0;9,0;2,3;12,3;1,5;0;2,1;14,0;0;0;12,0;0,3;0;0;0;0;22,0;4,7
"110006";"COLORADO DO OESTE";0;0;0;3,3;3,5;4,8;2,6;4,0;1,5;0;3,0;0;8,3;1,0;1,0;2,6;5,5;2,9;0;1,6;5,0;0;0;6,3;0;0;0;0;0;0;3,4
"110007";"CORUMBIARA";0;0;0;3,5;5,6;0;3,5;7,7;1,0;0;0;0;0;0;0;4,3;1,8;2,3;0;1,9;0;0;0;18,5;0;0;0;0;0;0;4,4
"110008";"COSTA MARQUES";0;0;0;0,7;2,6;4,0;11,0;1,6;1,1;0;0;22,0;14,7;0;16,0;5,3;3,5;1,5;0;2,2;1,0;0;0;13,0;3,0;0;0;0;0;0;2,7
"110009";"ESPIGAO D'OESTE";0;0;0;3,4;4,1;5,9;3,3;6,3;1,6;10,0;0;11,3;5,3;0;2,0;2,3;5,0;3,5;1,0;3,1;5,0;0;0;6,3;1,0;0;0;0;0;0;4,1
"110010";"GUAJARA-MIRIM";0;0;0;1,8;6,9;12,3;4,3;9,1;1,6;11,8;2,5;8,3;3,2;1,0;0;5,6;7,3;4,3;4,0;3,0;7,8;0;0;8,1;2,5;0;0;0;0;0;5,7
"110011";"JARU";4,0;0;0;0,9;5,2;6,9;5,7;4,4;1,3;0;7,0;0;5,2;0;9,5;4,1;4,7;1,7;0;2,0;0;4,0;0;14,5;2,8;0;0;0;0;0;4,1
"110012";"JI-PARANA";0;0;11,0;1,7;4,8;4,4;4,7;7,1;1,6;2,5;0;19,0;5,0;0,2;7,5;3,6;8,4;2,1;1,6;2,5;5,6;19,0;0;9,3;7,2;0;0;0;9,7;3,0;4,5
"110013";"MACHADINHO D'OESTE";0;0;0;1,0;5,6;9,0;2,1;5,2;1,6;16,0;0;10,5;7,3;5,0;0;6,0;5,5;1,8;1,0;2,3;11,7;0;0;7,1;0;0;0;0;0;0;5,0
"110014";"NOVA BRASILANDIA D'OESTE";0;0;0;1,8;3,6;3,0;3,3;4,9;1,3;1,0;1,0;22,0;6,0;0;0;2,3;3,4;2,3;0;2,2;0;0;0;7,7;8,0;0;0;0;20,0;3,6;3,6
"110015";"OURO PRETO DO OESTE";0;0;0;1,7;3,5;11,4;8,4;5,5;1,2;0;0;7,0;7,5;0;12,0;2,5;8,0;2,1;1,5;2,4;33,0;0;0;8,4;1,3;0;0;0;0;0;3,7
