"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;1,7;2,9;2,8;2,9;3,7;2,0;0;0;1,0;8,0;0;0;1,5;6,7;1,6;0;2,2;4,0;0;0;7,8;0;0;0;0;1,0;0;3,0
"110002";"ARIQUEMES";0;0;0;1,0;5,0;7,7;5,1;5,3;1,4;1,4;2,0;6,5;0,4;0,4;13,8;2,3;3,7;2,0;1,0;2,3;6,0;1,7;0;5,0;8,0;0;0;0;2,0;10,5;3,8
"110003";"CABIXI";0;0;0;1,7;3,1;9,0;6,0;1,0;1,2;0;0;3,0;0;0;0;0;2,1;0;0;2,5;6,5;0;0;25,5;0;0;0;0;0;0;3,3
"110004";"CACOAL";11,0;0;24,0;1,6;4,3;4,6;8,2;5,5;1,6;1,6;1,2;7,9;7,4;8,8;11,9;2,6;7,0;2,4;1,8;2,5;7,9;5,0;1,5;9,2;2,9;0;0;0;0;0;4,4
"110005";"CEREJEIRAS";0;0;0;3,5;4,0;7,1;2,8;5,0;1,9;0;1,0;0;9,0;5,0;3,0;3,5;11,0;2,8;3,0;3,2;2,2;2,0;1,0;12,0;5,5;0;0;0;0;0;4,1
"110006";"COLORADO DO OESTE";0;0;0;2,3;4,1;2,7;2,8;5,1;1,4;0,5;0;6,5;20,0;0;26,7;3,2;7,8;2,2;0;2,1;3,5;0;0;4,0;5,3;0;0;0;0;0;4,1
"110007";"CORUMBIARA";0;0;0;2,7;5,0;0;3,5;3,3;1,0;0;2,0;0;0;0;0;1,5;6,0;3,0;0;1,6;2,0;0;0;9,0;0;0;0;0;0;0;3,5
"110008";"COSTA MARQUES";0;0;0;0;3,3;28,0;7,0;3,2;2,1;0,5;0;0;0;0;0;1,5;3,3;0;0;3,5;0;1,0;0;5,3;0;0;0;0;0;0;3,4
"110009";"ESPIGAO D'OESTE";0;0;0;1,9;3,9;3,8;4,3;2,6;1,6;12,0;0;15,0;5,2;1,8;9,5;12,2;7,1;2,4;3,0;2,3;0;0;1,0;7,9;1,8;0;0;0;0;0;4,1
"110010";"GUAJARA-MIRIM";0;0;0;1,5;5,4;4,3;6,0;7,6;1,6;1,6;1,0;2,0;7,3;0,5;13,8;5,1;5,8;3,8;0;2,9;18,0;0;0;5,5;2,0;0;0,5;0;13,0;4,8;4,6
"110011";"JARU";0;0;0;1,0;4,5;4,4;6,2;6,0;1,4;0,1;1,0;26,0;3,1;0,4;2,9;4,7;6,4;3,2;0;2,4;90,0;0,7;0;11,4;2,6;0;5,0;0;15,0;0;3,9
"110012";"JI-PARANA";8,0;0;0;2,3;4,7;5,0;4,0;7,6;1,6;0,8;1,3;5,0;3,0;0;8,0;3,3;6,4;1,5;1,3;2,6;13,0;3,0;0;8,8;2,2;0;0,7;0;6,0;30,0;3,9
"110013";"MACHADINHO D'OESTE";0;0;0;2,9;4,1;6,9;2,6;5,1;1,5;9,5;0;10,7;2,0;2,0;0;4,1;3,9;5,4;2,5;2,6;6,7;6,0;0;4,8;4,0;0;0;0;0,5;0;3,8
"110014";"NOVA BRASILANDIA D'OESTE";0;0;0;1,4;5,1;4,4;3,2;4,0;1,3;0;0;14,8;5,0;0;6,0;2,2;3,6;2,4;2,0;2,0;10,0;0;0;9,8;1,0;0;0;0;0;3,7;4,0
"110015";"OURO PRETO DO OESTE";0;0;0;0,6;4,1;8,1;4,5;3,5;1,3;1,0;1,0;0;0;0;5,5;3,8;6,7;1,1;0;2,4;7,3;0;0;18,2;0,5;0;0;0;0;0;3,8
"110018";"PIMENTA BUENO";0;0;0;1,6;2,8;5,5;2,3;2,1;1,3;3,0;0;12,7;2,8;1,0;3,2;2,9;6,4;1,4;0;2,2;12,5;1,0;2,0;15,7;4,0;0;0;0;0;0;3,3
"110020";"PORTO VELHO";1,5;0;20,0;1,9;9,5;8,7;8,0;5,3;2,2;3,4;2,2;10,2;3,5;0,3;9,9;4,2;4,3;2,9;2,2;3,0;8,6;3,3;30,7;6,3;4,2;0;0,3;0;4,0;13,9;5,9
"110025";"PRESIDENTE MEDICI";0;0;0;1,5;5,3;4,2;3,4;6,1;1,3;20,0;2,0;2,5;1,7;0;0;2,5;5,9;2,3;2,7;2,3;0;0;0;13,9;3,0;0;0;0;0;0;4,2
"110026";"RIO CRESPO";0;0;0;1,2;21,7;0;0;6,0;1,5;0;0;0;0;0;0;2,5;1,5;3,0;0;4,7;0;0;0;11,5;1,0;0;0;0;0;0;6,8
"110028";"ROLIM DE MOURA";1,5;0;0;1,2;3,9;4,5;5,1;4,8;1,9;2,0;3,0;25,8;0,8;0;3,3;2,2;4,9;2,9;2,5;2,3;17,4;3,0;1,0;5,1;1,0;0;0;0;0;16,7;3,4
"110029";"SANTA LUZIA D'OESTE";0;0;0;1,0;4,5;0;6,0;3,1;1,5;0;0;5,0;1,7;0;0;2,0;9,8;1,7;0;2,3;0;0;0;9,0;1,5;0;0;0;0;0;4,2
"110030";"VILHENA";0;0;0;2,2;5,0;6,2;4,7;5,5;2,4;1,5;1,4;8,4;4,8;0,3;9,3;3,7;6,9;2,8;2,0;2,0;5,6;3,3;0;8,6;3,4;0;0,3;0;1,0;3,5;4,2
"110032";"SAO MIGUEL DO GUAPORE";0;0;0;1,8;5,0;5,0;5,9;5,5;1,9;0,7;1,0;9,5;14,5;0,3;0,5;1,4;8,8;1,0;0;1,2;0;7,5;0;4,3;3,0;0;0;0;1,0;15,0;3,8
"110033";"NOVA MAMORE";0;0;2,0;1,0;6,9;7,5;4,4;7,1;2,0;1,3;5,0;31,0;1,0;0;10,3;2,9;4,6;3,0;0;3,5;0;0;0;6,0;1,7;0;0;0;0;0;5,6
"110034";"ALVORADA D'OESTE";0;0;0;1,0;4,5;2,3;6,8;3,4;1,7;1,0;0;0;0;0;4,0;1,4;5,3;3,5;2,0;2,0;0;6,0;0;7,4;19,0;0;0;0;0;0;3,7
"110037";"ALTO ALEGRE DOS PARECIS";0;0;0;1,6;3,3;2,0;6,1;3,2;3,6;1,0;1,0;0;0;8,0;0;1,7;3,0;2,2;0;2,3;0;0;2,0;10,2;0;0;0;0;0;0;3,6
"110040";"ALTO PARAISO";0;0;0;1,2;5,7;4,3;6,0;6,1;1,5;0;0;12,0;2,7;1,1;8,7;2,2;3,1;6,3;0;3,3;0;9,0;0;2,0;0;0;0;0;0;0;4,6
"110045";"BURITIS";0;0;0;1,0;5,2;5,2;7,3;4,2;1,8;0,5;2,0;0;6,5;0,3;11,5;2,4;5,6;4,3;1,0;3,5;4,0;0;0;5,5;1,0;0;0;0;0;14,0;4,8
"110050";"NOVO HORIZONTE DO OESTE";0;0;0;1,0;3,8;4,0;6,5;4,7;1,4;0;0;7,0;1,0;0;0;1,3;15,5;2,0;0;2,8;0;0;0;15,8;4,5;0;0;0;0;0;3,9
"110060";"CACAULANDIA";0;0;0;0,5;7,1;0;2,0;1,8;1,5;0;0;0;0;0;0;1,7;0;0;0;3,0;6,0;0;0;2,5;0;0;0;0;3,0;0;4,0
"110070";"CAMPO NOVO DE RONDONIA";1,0;0;0;1,0;3,3;3,8;1,0;2,7;1,5;0;4,0;0;0;0;2,0;2,0;3,0;2,0;0;3,7;0;0;0;9,8;13,0;0;0;0;0;0;3,6
"110080";"CANDEIAS DO JAMARI";0;0;0;1,0;10,2;4,0;10,7;8,8;2,0;4,1;1,3;17,7;2,0;0,1;5,7;3,7;5,3;2,8;8,0;2,7;4,7;0;0;5,0;1,8;0;0;0;0;14,0;6,7
"110090";"CASTANHEIRAS";0;0;0;1,0;5,5;7,3;4,0;2,0;0;0;0;0;0;0;0;1,0;20,6;2,0;0;2,6;0;0;0;5,0;0;0;0;0;0;0;6,0
"110092";"CHUPINGUAIA";0;0;0;2,5;6,2;9,5;2,0;6,0;1,3;0;0;0;1,5;1,0;0;2,9;7,6;4,5;0;1,9;5,0;2,0;1,0;4,0;2,0;0;0;0;0;29,3;4,7
"110094";"CUJUBIM";0;0;0;0,4;2,7;9,3;2,3;2,5;2,2;4,0;0;0;0;0;0;2,3;3,6;6,0;0;3,2;2,0;0;0;5,1;0;0;0;0;0;0;2,8
"110100";"GOVERNADOR JORGE TEIXEIRA";0;0;0;0;4,2;1,0;3,5;2,5;1,1;0,7;0;0;0;0;4,5;3,7;5,0;0;0;2,7;0;66,0;0;9,8;0;0;0;0;0;0;4,6
"110110";"ITAPUA DO OESTE";0;0;0;2,7;9,8;0;0;5,4;2,5;6,5;0;0;0;1,3;6,7;3,0;3,7;5,8;0;2,5;0;0;0;5,5;0;0;0;0;0;0;5,8
"110120";"MINISTRO ANDREAZZA";0;0;0;1,0;6,0;5,6;13,0;7,2;2,7;2,0;0;3,0;0;0;20,0;1,8;3,5;2,5;0;2,6;0;0;0;8,8;0;0;0;0;0;0;5,3
"110130";"MIRANTE DA SERRA";0;0;0;1,5;4,3;2,0;3,3;3,3;2,0;25,0;1,0;0;0;0;12,0;2,5;5,0;2,0;0;4,6;1,0;0;0;5,0;0;0;0;0;0;0;4,1
"110140";"MONTE NEGRO";0;0;0;1,1;3,2;3,0;4,3;4,3;2,1;0;3,0;0;0;0;16,0;3,2;10,0;7,7;3,0;2,4;1,0;0;0;3,0;0;0;0;0;0;0;3,5
"110143";"NOVA UNIAO";0;0;0;2,0;3,9;23,5;1,0;1,0;1,8;6,0;0;4,0;7,0;0;0;6,6;3,0;1,8;0;1,8;0;0;0;44,5;0;0;0;0;9,0;0;5,3
"110145";"PARECIS";0;0;0;1,0;3,5;4,0;0;2,5;1,8;0;0;0;0;0;0;2,3;2,0;2,5;0;2,3;5,0;0;0;4,4;0;0;0;0;0;0;1,7
"110146";"PIMENTEIRAS DO OESTE";0;0;0;1,0;3,7;1,0;0;5,0;1,5;0;0;0;0;1,0;0;3,7;15,5;0;0;2,2;9,0;0;0;0;0;0;0;0;0;0;3,8
"110147";"PRIMAVERA DE RONDONIA";0;0;0;1,0;4,5;3,3;2,0;2,3;1,0;0;0;0;10,0;0;3,5;2,0;3,5;3,0;1,0;2,0;0;1,0;0;13,0;5,5;0;0;0;0;0;4,0
"110148";"SAO FELIPE D'OESTE";0;0;6,0;0,7;5,2;2,3;6,5;2,0;0;0;0;0;1,0;0;0;1,7;11,0;2,0;0;2,3;0;0;0;3,7;3,5;0;0;0;0;6,0;4,5
"110149";"SAO FRANCISCO DO GUAPORE";0;0;0;0;3,3;9,4;5,7;5,8;1,3;0,7;0;12,3;7,0;0;13,3;5,5;7,4;3,7;0;1,6;0;0;0;16,5;0;0;0;0;0;0;4,3
"110150";"SERINGUEIRAS";0;0;0;1,0;4,2;9,5;2,3;2,2;1,2;1,0;3,0;0;0;0;7,0;1,9;9,5;1,7;0;1,5;0;0;1,0;6,5;0;0;0;0;0;0;3,4
"110155";"TEIXEIROPOLIS";0;0;0;0;3,5;0;5,2;3,0;0;0;1,0;0;6,0;0;3,0;2,0;0;0;0;1,9;0;0;0;16,0;4,0;0;0;0;0;0;3,5
"110160";"THEOBROMA";0;0;0;2,2;4,7;5,0;3,3;5,0;1,0;0;0;8,5;13,0;0;0;1,5;0;3,3;0;2,3;0;0;0;6,5;3,3;0;0;0;0;0;4,0
"110170";"URUPA";0;0;0;1,0;4,6;6,5;7,3;4,0;1,2;5,0;2,0;5,5;0;0;0;6,5;11,2;3,0;0;2,3;0;0;0;15,3;0;0;0;0;0;0;4,8
"110175";"VALE DO ANARI";0;0;0;1,0;3,4;0;4,0;2,5;1,2;0;0;0;0;0;0;3,0;2,0;2,3;1,5;2,7;7,0;0;0;12,0;0;0;0;0;0;0;3,3
"110180";"VALE DO PARAISO";0;0;0;2,7;2,9;0;1,3;3,3;1,3;1,0;0;19,0;0;0;0;2,0;9,7;5,3;2,0;2,2;0;0,5;0;0;6,0;0;0;0;1,0;0;3,4
"120001";"ACRELANDIA";0;0;0;1,5;5,2;5,7;4,0;7,4;3,0;0;0;22,0;0;0;5,3;3,5;2,0;6,8;1,0;3,0;0;0;0;6,3;1,0;0;0;0;0;0;4,5
"120005";"ASSIS BRASIL";0;0;0;0,9;7,8;5,0;7,0;6,2;1,4;0;0;0;0;0;4,7;20,8;8,0;6,0;0;2,4;0;0;0;14,4;0;0;0;0;0;0;5,3
"120010";"BRASILEIA";20,0;0;0;2,1;4,9;3,9;6,6;4,9;1,4;1,0;4,0;3,5;0;0;2,7;6,4;4,3;1,8;0;2,5;0;0;0;10,4;4,0;0;0;0;10,0;7,0;3,8
"120013";"BUJARI";1,0;0;0;2,0;9,9;13,7;14,3;14,8;1,9;1,0;0;0;7,3;0;0;30,0;15,5;6,0;0;3,0;4,0;0;0;5,7;0;0;0;0;0;0;8,7
"120017";"CAPIXABA";2,0;0;0;1,0;6,9;13,5;0;12,3;2,8;0;5,0;0;1,0;0;0;2,8;4,0;2,0;0;3,0;0;0;0;63,0;5,0;0;0;0;0;0;6,4
