"Codigo_Municipio";"Municipio";"Coleta_Material";"Diagnostico_Endoscopia";"Metodos_Diagnosticos_Especialidades";"Consultas_Atendimentos_Acompanhamentos";"Tratamentos_Clinicos_Outras_Especialidades";"Tratamento_Oncologia";"Tratamento_Nefrologia";"Tratamento_Lesoes_Envenenamentos_Outros_Causas_Externas";"Parto_Nascimento";"Pequenas_Cirurgias_Pele_Tecido_Subcutaneo_Mucosa";"Cirurgia_Glandulas_Endocrinas";"Cirurgia_Sistema_Nervoso_Central_Periferico";"Cirurgia_Vias_Aereas_Superiores_Face_Cabeca_Pescoco";"Cirurgia_Aparelho_Visao";"Cirurgia_Aparelho_Circulatorio";"Cirurgia_Aparelho_Digestivo_Orgaos_Anexos_Parede_Abdominal";"Cirurgia_Sistema_Osteomuscular";"Cirurgia_Aparelho_Geniturinario";"Cirugia_Mama";"Cirurgia_Obstetrica";"Cirurgia_Toracica";"Cirurgia_Reparadora";"Bucomaxilofacial";"Outras_Cirurgias";"Cirurgia_Oncologia";"Coleta_Exames_Doacao_Orgaos_Tecidos_Celulas_Transplante";"Acoes_Relacionadas_Doacao_Orgaos_Tecidos_Transplantes";"Processamento_Tecidos_Transplante";"Transplante_Orgaos_Tecidos_Celulas";"Acompanhamento_Intercorrencias_Pre_Pos_Transplante";"Total"
"110001";"ALTA FLORESTA D'OESTE";0;0;0;0,8;3,4;4,3;2,3;3,8;1,4;1,5;5,5;4,0;2,3;0;2,3;2,7;4,4;1,9;0;2,5;0;0;0;6,6;2,7;0;0;0;0;0;3,2
"110002";"ARIQUEMES";0;0;0;1,7;5,5;8,9;5,8;9,6;1,7;1,7;2,5;10,0;1,2;0,5;5,2;4,5;5,8;5,1;2,0;2,4;3,0;3,4;0;7,7;2,0;0;0;0;1,5;14,0;4,9
"110003";"CABIXI";0;0;0;1,9;3,3;4,0;4,0;2,5;1,3;0;0;10,0;49,0;0;17,5;14,8;5,9;6,0;0;1,1;0;0;0;3,0;3,0;0;0;0;0;0;4,2
"110004";"CACOAL";0;0;11,0;1,5;5,0;3,8;8,4;5,4;1,8;1,1;4,7;8,3;2,4;1,0;7,3;3,1;7,7;2,9;2,0;2,8;11,8;5,5;3,2;8,6;2,8;0;0;0;41,0;0;4,8
"110005";"CEREJEIRAS";0;0;0;2,6;5,6;4,1;4,6;13,3;1,3;0,5;0;0;0;0;12,0;3,5;5,9;2,4;0;2,3;14,0;0;0;8,4;8,5;0;0;0;0;0;5,1
"110006";"COLORADO DO OESTE";0;0;0;4,2;4,5;7,7;1,8;9,5;2,0;0;1,0;0;9,5;0;9,5;3,0;4,7;2,4;0;9,2;18,0;0;0;6,9;2,5;0;0;0;0;0;4,8
"110007";"CORUMBIARA";0;0;0;2,4;3,7;0;15,0;17,0;1,7;0;0;0;0;0;10,5;2,3;2,5;3,5;0;1,7;0;0;0;4,8;0;0;0;0;0;0;3,7
"110008";"COSTA MARQUES";0;0;0;0;3,4;10,3;1,7;2,4;1,4;9,0;1,0;0;13,0;2,0;31,0;1,9;4,4;13,0;0;4,5;0;0;0;11,0;0;0;0;0;0;0;4,0
"110009";"ESPIGAO D'OESTE";0;0;0;1,3;3,7;8,1;5,1;3,1;2,2;0;0;0;2,0;0;12,8;4,4;7,2;1,1;0;2,8;12,3;1,0;0;10,6;5,0;0;0;0;0;0;4,0
"110010";"GUAJARA-MIRIM";8,0;0;0;2,5;5,6;9,0;7,5;7,1;1,5;0,5;3,0;1,6;6,0;0;104,0;7,5;4,8;3,7;0;2,4;3,0;2,0;0;7,6;12,5;0;0;0;8,7;9,4;4,9
"110011";"JARU";0;0;5,0;1,1;5,0;4,1;5,5;6,1;1,2;0,6;0;17,0;3,7;0;4,4;3,7;9,3;4,3;0,7;2,0;6,3;0;0;10,3;7,6;0;0;0;0;19,5;4,1
"110012";"JI-PARANA";0,3;0;0;2,0;4,6;4,5;4,3;6,0;1,6;1,9;2,0;10,3;8,0;0;8,6;2,9;6,3;2,2;2,0;2,2;8,5;3,0;2,0;9,7;2,9;0;0;0;1,0;0;3,9
"110013";"MACHADINHO D'OESTE";0;0;0;0,6;4,1;19,2;2,8;7,0;1,2;2,5;0;10,8;0,5;0;0,5;2,7;5,3;2,4;0;2,3;0;0;0;4,0;0;0;0;0;0;0;4,0
"110014";"NOVA BRASILANDIA D'OESTE";0;0;0;0,5;4,4;5,7;10,4;2,8;1,2;0;0;15,3;0;1,5;30,3;5,1;6,2;2,3;2,0;2,0;19,0;0;1,0;4,3;1,0;0;0;0;0;0;4,2
"110015";"OURO PRETO DO OESTE";0;0;7,0;1,4;4,4;8,0;9,9;7,2;1,1;0,5;1,0;7,6;3,3;1,0;6,0;2,4;9,6;1,6;0;2,2;1,0;0;0;4,0;2,3;0;0;0;0;6,0;4,2
"110018";"PIMENTA BUENO";0;0;6,0;1,0;2,5;3,9;2,8;4,1;1,3;2,0;1,0;7,5;3,8;0,3;13,0;9,7;6,1;2,4;0;3,1;12,2;0,5;4,0;6,2;9,5;0;1,0;0;0;0;3,2
"110020";"PORTO VELHO";2,1;11,0;6,0;3,0;10,4;8,8;9,4;6,9;2,1;3,5;2,2;11,4;6,5;0,1;11,7;4,6;5,8;2,9;2,2;2,4;8,2;4,4;3,3;7,4;4,6;0;0,1;0;9,5;6,1;6,9
"110025";"PRESIDENTE MEDICI";0;0;0;1,8;5,6;13,0;2,3;8,4;1,7;0;0;6,2;2,0;0;20,2;2,6;9,2;2,5;2,7;3,0;6,0;1,0;1,0;5,4;25,0;0;0;0;0;0;4,8
"110026";"RIO CRESPO";0;0;0;1,3;6,9;0;0;3,0;2,5;0;0;0;0;0;0;0;4,5;1,0;0;1,0;0;5,0;0;34,0;0;0;0;0;0;0;3,5
"110028";"ROLIM DE MOURA";0;0;0;1,5;4,3;5,5;4,3;4,4;1,9;8,6;0;10,5;4,0;0;5,7;2,5;7,0;3,8;2,0;2,9;19,5;0;2,0;7,7;2,9;0;0;0;0;0;3,9
"110029";"SANTA LUZIA D'OESTE";0;0;0;1,0;4,5;0;6,0;3,9;1,0;1,0;0;0;0;0;0;1,5;7,1;2,0;0;2,3;0;0;2,0;5,0;3,0;0;0;0;0;0;4,2
"110030";"VILHENA";0;0;0;2,0;5,0;6,4;5,6;4,3;1,3;1,0;1,0;7,5;13,0;0,4;11,5;3,7;6,4;3,0;0;1,8;9,0;3,6;1,0;9,3;2,7;0;4,0;0;0;0;4,1
"110032";"SAO MIGUEL DO GUAPORE";0;0;0;1,1;6,6;4,3;13,0;6,4;1,1;1,0;0;2,2;13,0;0;18,3;1,9;4,2;0,8;0;1,3;19,0;0;2,0;16,0;2,3;0;0;0;4,0;14,3;5,2
"110033";"NOVA MAMORE";0;0;0;4,2;6,3;1,0;4,7;6,7;1,8;2,0;0;8,0;14,3;0;11,3;1,7;9,2;1,5;0;3,0;0;2,0;0;8,4;1,0;0;0;0;0;0;5,6
"110034";"ALVORADA D'OESTE";0;0;0;1,3;4,5;24,3;3,6;4,1;1,3;0;0;3,5;0;0;0;5,2;7,3;5,9;0;2,6;5,0;0;0;8,5;0;0;0;0;0;0;4,3
"110037";"ALTO ALEGRE DOS PARECIS";0;0;0;1,0;3,8;6,6;1,4;6,7;1,6;2,0;0;11,0;0;0;67,0;1,3;5,0;2,0;0;2,3;0;0;2,0;8,0;2,0;0;0;0;0;0;3,9
"110040";"ALTO PARAISO";0;0;0;1,4;3,8;4,3;5,8;4,9;1,3;0;2,0;10,8;0;0;42,5;1,7;7,2;0;1,0;2,7;17,0;0;0;4,9;0;0;0;0;0;0;4,1
"110045";"BURITIS";0;0;0;2,1;4,7;9,1;9,0;6,7;1,7;6,0;2,0;14,8;3,0;0;1,4;2,2;8,5;4,7;0;1,9;0;0;0;7,6;4,5;0;0;0;0;7,3;5,0
"110050";"NOVO HORIZONTE DO OESTE";0;0;0;1,0;3,5;4,0;8,0;5,3;2,7;0;0;9,0;4,5;0,5;0;1,2;4,8;1,8;2,0;1,9;0;0;2,0;14,0;0;0;0;0;0;0;3,5
"110060";"CACAULANDIA";0;0;0;1,0;9,3;0;19,0;7,4;1,7;0;0;3,5;1,0;0;0;2,5;4,3;9,0;0;1,5;0;0;0;3,0;0;0;0;0;0;0;6,8
"110070";"CAMPO NOVO DE RONDONIA";0;0;0;0;3,5;3,5;4,2;5,6;1,2;0;0;0;0;0;0;3,8;3,9;2,0;0;2,4;11,0;1,0;0;1,0;0;0;0;0;0;0;3,5
"110080";"CANDEIAS DO JAMARI";5,5;0;0;3,8;9,7;11,7;11,2;7,2;2,0;2,3;0;21,5;5,0;0;8,0;4,4;4,8;1,5;1,5;4,6;4,0;7,0;0;7,5;7,2;0;0;0;1,0;12,0;7,2
"110090";"CASTANHEIRAS";0;0;0;1,0;3,1;0;9,0;8,0;1,5;0;0;0;0;0;0;1,7;10,5;1,5;0;2,3;0;0;0;4,0;0;0;0;0;0;0;3,5
"110092";"CHUPINGUAIA";0;0;0;3,4;5,5;3,0;4,0;3,0;5,7;27,0;0;0;36,0;0;0;2,8;4,7;2,3;0;1,6;15,0;0;2,0;8,0;0;0;0;0;0;29,0;5,2
"110094";"CUJUBIM";0;0;0;0,2;1,7;4,5;1,8;7,9;1,1;0;5,0;30,0;0;62,0;16,2;7,4;4,9;0;0;1,8;12,0;0;0;9,2;8,0;0;0;0;0;0;3,3
"110100";"GOVERNADOR JORGE TEIXEIRA";0;0;0;1,1;3,4;3,0;4,0;9,3;1,0;1,0;0;0;10,5;1,5;0;1,6;7,5;1,5;0;1,8;0;0;0;31,7;0;0;0;0;0;0;4,2
"110110";"ITAPUA DO OESTE";10,0;0;0;0,8;9,7;35,5;4,0;9,6;2,4;1,0;0;1,0;0;0;0;2,4;4,0;6,0;0;2,3;0;0;0;4,5;0;0;0;0;0;0;7,2
